estimates,estimates_lb,estimates_ub,age
-.066746056,-.078278191,-.055213921,21
-.059272315,-.07072261,-.047822021,22
-.068592988,-.079477668,-.057708308,23
-.083637826,-.094354764,-.072920896,24
-.093295194,-.10383519,-.082755201,25
-.093039364,-.10363837,-.082440361,26
-.10168178,-.11213388,-.091229677,27
-.11773466,-.12806204,-.10740727,28
-.10773461,-.11811162,-.097357593,29
-.12732838,-.13713542,-.11752134,30
-.12935938,-.13929266,-.11942611,31
-.14082928,-.15080161,-.13085695,32
-.13448261,-.14454673,-.12441847,33
-.12893936,-.13904896,-.11882974,34
-.11875004,-.1285933,-.10890681,35
-.12549108,-.13533384,-.11564832,36
-.12523811,-.13507956,-.11539666,37
-.12359041,-.13338245,-.11379836,38
-.10342978,-.11315481,-.09370476,39
-.097029559,-.10654375,-.087515369,40
-.10922665,-.11895934,-.099493958,41
-.10244121,-.11217485,-.092707574,42
-.10242437,-.11226667,-.092582069,43
-.094897851,-.10448915,-.085306548,44
-.099198908,-.1088011,-.089596719,45
-.094803438,-.10450885,-.085098021,46
-.093061857,-.10267719,-.083446525,47
-.096555419,-.10615071,-.086960129,48
-.081539787,-.090748794,-.072330788,49
-.073394194,-.082032621,-.064755768,50
-.070786938,-.079542302,-.062031582,51
-.064746186,-.07346528,-.056027096,52
-.057911322,-.066639736,-.049182907,53
-.048923686,-.057461828,-.040385548,54
-.04914606,-.057441127,-.040850993,55
-.050711911,-.058874916,-.042548906,56
-.041473661,-.049390033,-.033557292,57
-.043140024,-.051068801,-.035211243,58
-.033762749,-.041494668,-.026030827,59
-.025585223,-.033240631,-.017929817,60
-.019483455,-.027086429,-.011880478,61
-.0072870133,-.014823508,.000249481,62
-.0041024988,-.011609633,.0034046357,63
.00038140026,-.0071973149,.0079601156,64
.016719459,.0092215473,.024217369,65
.02446755,.016883064,.03205204,66
.04157982,.034068368,.049091272,67
.04515161,.037328139,.052975077,68
.060046043,.052350309,.067741774,69
.065851852,.057931218,.07377249,70
.073604092,.065501198,.081706978,71
.087940142,.079743564,.096136719,72
.093365207,.08522094,.10150947,73
.10830463,.10004484,.11656442,74
.10730815,.097708441,.11690786,75
.11641099,.10677044,.12605155,76
.12483282,.11484958,.13481607,77
.13339476,.12319236,.14359717,78
.14398049,.13347363,.15448733,79
.13845563,.1266817,.15022956,80
.14129856,.12920102,.15339611,81
.1470107,.13437945,.15964194,82
.12915854,.11572029,.14259681,83
.13970938,.1252643,.15415445,84
.12260396,.10677546,.13843246,85
.10847285,.091675393,.12527031,86
.10271098,.084310561,.12111141,87
.095911488,.075745605,.11607737,88
.079429038,.05658925,.10226882,89
.043330818,.031249126,.055412509,90+
